Category,Nationality,FTA - 2001,FTA - 2002,FTA - 2003,FTA - 2004,FTA - 2005,FTA - 2006,FTA - 2007,FTA - 2008,FTA - 2009,FTA - 2010,FTA - 2011,FTA - 2012,FTA - 2013,FTA - 2014,FTA - 2015,FTA - 2016,FTA - 2017,FTA - 2018,FTA - 2019,FTA - 2020,FTA - 2021,FTA - 2022,FTA - 2023
West Asia,Kuwait,"1,850.00","1,838.00","2,361.00","2,965.00","3,103.00","3,773.00","4,129.00","5,302.00","5,208.00","4,764.00","5,370.00","5,256.00","8,461.00","10,743.00","11,758.00","12,566.00",,,,,,,
West Asia,Oman,"13,114.00","13,256.00","12,352.00","14,927.00","14,979.00","17,849.00","22,284.00","34,042.00","32,971.00","35,485.00","40,577.00","49,759.00","62,252.00","88,512.00","103,740.00","105,705.00","107,217.00","95,160.00","9,279.63","2,326.27","1,290.49","5,467.59","7,844.81"
West Asia,Qatar,"1,361.00","1,215.00","1,434.00","1,788.00","2,176.00","2,392.00","2,606.00","2,934.00","2,765.00","2,735.00","3,266.00","4,132.00","4,966.00","6,291.00","6,313.00","7,486.00",,,,,,,
West Asia,Saudi Arabia,"9,851.00","8,663.00","9,961.00","11,929.00","12,444.00","14,006.00","16,352.00","16,983.00","15,552.00","21,599.00","26,268.00","32,127.00","42,892.00","55,487.00","63,835.00","61,605.00","52,976.00","47,546.00","4,636.50","1,162.31",644.78,"2,731.84","3,919.60"
West Asia,Syria,"1,501.00","1,452.00","1,661.00","2,289.00","2,385.00","2,645.00","2,928.00","2,883.00","3,215.00","3,586.00","4,152.00","3,971.00","5,013.00","5,733.00","6,510.00","6,267.00",,,,,,,
West Asia,Turkey,"2,432.00","3,354.00","5,528.00","7,008.00","7,906.00","10,221.00","11,212.00","10,934.00","10,282.00","15,483.00","17,359.00","22,986.00","25,022.00","24,294.00","25,670.00","29,545.00","33,251.00","33,825.00","3,298.48",826.88,458.71,"1,943.48","2,788.47"
West Asia,U.A.E.,"21,483.00","22,027.00","21,374.00","22,668.00","24,560.00","27,593.00","32,750.00","63,502.00","47,234.00","45,482.00","66,383.00","41,664.00","51,513.00","59,332.00","55,818.00","67,165.00",,,,,,,
West Asia,Yemen Arab Rep.,"7,773.00","6,772.00","7,717.00","8,826.00","9,423.00","9,573.00","10,898.00","11,583.00","12,695.00","14,931.00","14,955.00","18,654.00","25,019.00","34,207.00","20,901.00","19,383.00",,,,,,,
West Asia,Others,"2,912.00","2,962.00","3,183.00","4,511.00","5,723.00","7,180.00","9,738.00","13,281.00","22,138.00","35,390.00","40,972.00","47,397.00","50,919.00","58,660.00","52,801.00","59,993.00",,,,,,,
West Asia,Total,"96,424.00","92,562.00","103,596.00","122,808.00","133,821.00","146,693.00","171,661.00","215,542.00","204,843.00","235,317.00","278,773.00","290,996.00","343,113.00","413,678.00","417,616.00","452,927.00","10,035,803.00","10,557,976.00","1,029,572.10","258,099.50","143,179.29","606,628.03","870,379.34"
South Asia,Afghanistan,"1,248.00","6,012.00","10,079.00","12,705.00","14,025.00","18,799.00","23,045.00","32,438.00","50,446.00","73,389.00","89,605.00","95,231.00","111,370.00","115,569.00","114,406.00","123,330.00","149,176.00","153,905.00","15,008.21","3,762.35","2,087.14","8,842.90","12,687.63"
South Asia,Iran,"11,728.00","11,815.00","17,539.00","24,733.00","28,691.00","29,771.00","33,223.00","30,149.00","34,652.00","49,265.00","43,399.00","40,973.00","30,527.00","31,222.00","30,774.00","39,184.00","42,641.00","35,596.00","3,471.18",870.18,482.73,"2,045.23","2,934.47"
South Asia,Maldives,"17,564.00","18,826.00","18,345.00","21,099.00","33,915.00","37,652.00","45,787.00","54,956.00","55,159.00","58,152.00","53,999.00","50,428.00","45,270.00","65,052.00","68,907.00","67,457.00","66,150.00","62,337.00","6,078.86","1,523.89",845.37,"3,581.69","5,138.94"
South Asia,Nepal,"41,135.00","43,056.00","42,771.00","51,534.00","77,024.00","91,552.00","83,037.00","78,133.00","88,785.00","104,374.00","119,131.00","125,375.00","113,790.00","126,416.00","154,720.00","161,097.00","164,018.00","174,096.00","16,977.15","4,255.94","2,360.96","10,003.01","14,352.14"
South Asia,Pakistan,"52,762.00","3,564.00","9,253.00","67,416.00","88,609.00","83,426.00","106,283.00","85,529.00","53,137.00","51,739.00","48,640.00","59,846.00","111,794.00","96,434.00","124,924.00","104,720.00","44,266.00","41,659.00","4,062.42","1,018.39",564.95,"2,393.59","3,434.29"
South Asia,Bangladesh,"431,312.00","435,867.00","454,611.00","477,446.00","456,371.00","484,401.00","480,240.00","541,884.00","468,899.00","431,962.00","463,543.00","487,397.00","524,923.00","942,562.00","1,133,879.00","1,380,409.00","2,156,557.00","2,256,675.00","220,062.03","55,166.51","30,603.32","129,661.43","186,035.97"
South Asia,Sri Lanka,"112,813.00","108,008.00","109,098.00","128,711.00","136,400.00","154,813.00","204,084.00","218,805.00","239,995.00","266,515.00","305,853.00","296,983.00","262,345.00","301,601.00","299,513.00","297,418.00","303,590.00","353,684.00","34,489.87","8,646.13","4,796.39","20,321.57","29,157.03"
South Asia,Bhutan,"3,571.00","4,123.00","4,082.00","7,054.00","6,934.00","8,502.00","6,729.00","9,952.00","10,328.00","12,048.00","15,489.00","15,266.00","15,016.00","16,001.00","19,084.00","20,940.00","25,267.00","26,470.00","2,581.25",647.08,358.97,"1,520.88","2,182.14"
South Asia,Total,"672,133.00","630,653.00","666,889.00","790,698.00","841,969.00","908,916.00","982,428.00","1,051,846.00","1,001,401.00","1,047,444.00","1,139,659.00","1,171,499.00","1,215,035.00","1,694,857.00","1,946,207.00","2,194,555.00","10,035,803.00","10,557,976.00","1,029,572.10","258,099.50","143,179.29","606,628.03","870,379.34"
South East Asia,Indonesia,"7,767.00","8,694.00","9,078.00","11,408.00","12,640.00","16,990.00","17,818.00","19,609.00","20,068.00","26,171.00","32,530.00","29,559.00","33,747.00","32,215.00","34,933.00","35,084.00","43,973.00","46,867.00","4,570.28","1,145.71",635.57,"2,692.83","3,863.63"
South East Asia,Malayasia,"57,869.00","63,748.00","70,750.00","84,390.00","96,276.00","107,286.00","112,741.00","115,794.00","135,343.00","179,077.00","208,196.00","195,853.00","242,649.00","262,026.00","272,941.00","301,961.00",,,,,,,
